artikelnummer	de	en	fr
MO270GP2512	Übergangs-Gewinde-Muffe IG d25-1/2" Mocca	Adaptor socket "f" d25-1/2" Mocca	Manchon adaptateur (filetage femelle) d25-1/2" Mocca
MO270GP2534	Übergangs-Gewinde-Muffe IG d25-3/4 Mocca	Adaptor socket "f" d25-3/4" Mocca	Manchon adaptateur (filetage femelle) d25-3/4" Mocca
MO270GP321	Übergangs-Gewinde-Muffe IG d32-1 Mocca	Adaptor socket "f" d32-1" Mocca	Manchon adaptateur (filetage femelle) d32-1" Mocca
MO270GP3234	Übergangs-Gewinde-Muffe IG d32-3/4" Mocca	Adaptor socket "f" d32-3/4" Mocca	Manchon adaptateur (filetage femelle) d32-3/4" Mocca
MO270GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4 Mocca nickel	Adaptor socket "f" d40-1 1/4" Mocca	Manchon adaptateur (filetage femelle) d40-1 1/4" Mocca
MO270GP50112	Übergangs-Gewinde-Muffe IG d50-1 1/2 Mocca nickel	Adaptor socket "f" d50-1 1/2" Mocca	Manchon adaptateur (filetage femelle) d50-1 1/2" Mocca
MO270GP632	Übergangs-Gewinde-Muffe IG d63-2 Mocca nickel plat	Adaptor socket "f" d63-2" Mocca	Manchon adaptateur (filetage femelle) d63-2" Mocca
MO270GP75212	Übergangs-Gewinde-Muffe IG d75-2 1/2 Mocca nickel	Adaptor socket "f" d75-2 1/2" Mocca	Manchon adaptateur (filetage femelle) d75-2 1/2" Mocca
MO270P20	Muffe d20 mm  Mocca	Socket d20 mm  Mocca	Manchon d20 mm Mocca
MO270P25	Muffe d25 mm  Mocca	Socket d25 mm  Mocca	Manchon d25 mm Mocca
MO270P32	Muffe d32 mm  Mocca	Socket d32 mm  Mocca	Manchon d32 mm Mocca
MO270P40	Muffe d40 mm  Mocca	Socket d40 mm  Mocca	Manchon d40 mm Mocca
MO270P50	Muffe d50 mm  Mocca	Socket d50 mm  Mocca	Manchon d50 mm Mocca
MO270P63	Muffe d63 mm  Mocca	Socket d63 mm  Mocca	Manchon d63 mm Mocca
MO287P20	Überspringbogen d20 mm Mocca	Cross over d20 mm Mocca	Raccord transversal d20 mm Mocca
MO287P25	Überspringbogen d25 mm Mocca	Cross over d25 mm Mocca	Raccord transversal d25 mm Mocca
MO287P32	Überspringbogen d32 mm Mocca	Cross over d32 mm Mocca	Raccord transversal d32 mm Mocca
MO301P20	Kappe d20 mm Mocca	Cap d20 mm Mocca	Bouchon d20 mm Mocca
MO301P25	Kappe d25 mm Mocca	Cap d25 mm Mocca	Bouchon d25 mm Mocca
MO301P32	Kappe d32 mm Mocca	Cap d32 mm Mocca	Bouchon d32 mm Mocca
MO301P40	Kappe d40 mm Mocca	Cap d40 mm Mocca	Bouchon d40 mm Mocca
MO301P50	Kappe d50 mm Mocca	Cap d50 mm Mocca	Bouchon d50 mm Mocca
MO301P63	Kappe d63 mm Mocca	Cap d63 mm Mocca	Bouchon d63 mm Mocca
MO330AP25	Verschraubung d25 mm PP Mocca	Union d25 mm PP Mocca	Raccord union d25 mm PP Mocca
MO330AP32	Verschraubung d32 mm PP Mocca	Union d32 mm PP Mocca	Raccord union d32 mm PP Mocca
MO490GP2512	Montageeinheit PP-R IG d25-1/2 Mocca	Wall plate PP-R "f" d25-1/2" Mocca	Applique murale PP-R (filetage femelle) d25-1/2" Mocca
MO492GP2512	Montagegruppe PP-R IG d25-1/2 Mocca	Double wall plate PP-R "f" d25-1/2" Mocca	Double applique murale PP-R (filetage femelle) d25-1/2" Mocca
MO532P25	Metallverschraubung mit PP-R ELT IG d25 mm unvern.	Metal union (CW617N) with PP-R socket "f" d25 mm Mocca	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d25 mm Mocca
MO532P32	Metallverschraubung mit PP-R ELT IG d32 mm unvern.	Metal union (CW617N) with PP-R socket "f" d32 mm Mocca	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d32 mm Mocca
MO532P40	Metallverschraubung mit PP-R ELT IG d40 mm unvern.	Metal union (CW617N) with PP-R socket "f" d40 mm Mocca	Raccord union métal (CW617N) avec emboîture PP-R (filetage femelle) d40 mm Mocca
MO537P25	Metallverschraubung mit PP-R ELT AG d25 mm unvern.	Metal union (CW617N) with PP-R socket "m" d25 mm Mocca	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d25 mm Mocca
MO537P32	Metallverschraubung mit PP-R ELT AG d32 mm unvern.	Metal union (CW617N) with PP-R socket "m" d32 mm Mocca	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d32 mm Mocca
MO537P40	Metallverschraubung mit PP-R ELT AG d40 mm unvern.	Metal union (CW617N) with PP-R socket "m" d40 mm Mocca	Raccord union métal (CW617N) avec emboîture PP-R (filetage mâle) d40 mm Mocca
MO599AP2534	Ventil-Unterteil IG d25-3/4" Mocca	Tee 90° "f" for internal valve d25-3/4" Mocca	Té 90° (filetage femelle) pour vanne encastrée d25-3/4" Mocca
MO599AP3234	Ventil-Unterteil IG d32-3/4 Mocca	Tee 90° "f" for internal valve d32-3/4" Mocca	Té 90° (filetage femelle) pour vanne encastrée d32-3/4" Mocca
MO854P25	Internal Valve full return 25 mm Mocca	Internal Valve full return 25 mm Mocca	Vanne interne à retour complet 25 mm Mocca
UV045P20	Winkel 45° d20 mm schwarz	Elbow 45° d20 mm black	Coude 45° d20 mm noir
UV045P25	Winkel 45° d25 mm schwarz	Elbow 45° d25 mm black	Coude 45° d25 mm noir
UV045P32	Winkel 45° d32 mm schwarz	Elbow 45° d32 mm black	Coude 45° d32 mm noir
UV045P40	Winkel 45° d40 mm schwarz	Elbow 45° d40 mm black	Coude 45° d40 mm noir
UV045P50	Winkel 45° d50 mm schwarz	Elbow 45° d50 mm black	Coude 45° d50 mm noir
UV045P63	Winkel 45° d63 mm schwarz	Elbow 45° d63 mm black	Coude 45° d63 mm noir
UV0906GP321	Winkel 90° IG d32-1 Hexa 6-Kant schwarz	Elbow 90° "f" d32-1" black Hexa	Coude 90° (filetage femelle Hexa) d32-1" noir
UV090GP2012	Winkel 90° IG d20-1/2" schwarz"	Elbow 90° "f" d20-1/2" black	Coude 90° (filetage femelle) d20-1/2" noir
UV090GP2512	Winkel 90° IG d25-1/2" schwarz"	Elbow 90° "f" d25-1/2" black	Coude 90° (filetage femelle) d25-1/2" noir
UV090GP2534	Winkel 90° IG d25-3/4 schwarz	Elbow 90° "f" d25-3/4" black	Coude 90° (filetage femelle) d25-3/4" noir
UV090GP321	Winkel 90° IG d32-1 schwarz	Elbow 90° "f" d32-1" black	Coude 90° (filetage femelle) d32-1" noir
UV090P20	Winkel 90° d20 mm schwarz	Elbow 90° d20 mm black	Coude 90° d20 mm noir
UV090P25	Winkel 90° d25 mm schwarz	Elbow 90° d25 mm black	Coude 90° d25 mm noir
UV090P32	Winkel 90° d32 mm schwarz	Elbow 90° d32 mm black	Coude 90° d32 mm noir
UV090P40	Winkel 90° d40 mm schwarz	Elbow 90° d40 mm black	Coude 90° d40 mm noir
UV090P50	Winkel 90° d50 mm schwarz	Elbow 90° d50 mm black	Coude 90° d50 mm noir
UV090P63	Winkel 90° d63 mm schwarz	Elbow 90° d63 mm black	Coude 90° d63 mm noir
UV0926GP321	Winkel 90° AG d32-1 Hexa 6-Kant schwarz	Elbow 90° "m" d32-1" black Hexa	Coude 90° (filetage mâle Hexa) 90° (filetage mâle) d32-1" noir
UV092GP2534	Winkel 90° AG d25-3/4" schwarz"	Elbow 90° "m" d25-3/4" black	Coude 90° (filetage mâle) d25-3/4" noir
UV092GP321	Winkel 90° AG d32-1 schwarz	Elbow 90° "m" d32-1" black	Coude 90° (filetage mâle) d32-1" noir
UV1306GP321	T-Stück 90° IG d32-1 schwarz Hexa 6-Kant schwarz	Tee "f" d32-1" Hexa black	Té (filetage femelle) d32-1" Hexa noir
UV130GP2012	T-Stück 90° IG d20-1/2 schwarz"	Tee 90° "f" d20-1/2" black	Té 90° (filetage femelle) d20-1/2" noir
UV130GP2512	T-Stück 90° IG d25-1/2 schwarz"	Tee 90° "f" d25-1/2" black	Té 90° (filetage femelle) d25-1/2" noir
UV130GP2534	T-Stück 90° IG d25-3/4 schwarz	Tee "f" d25-3" black	Té (filetage femelle) d25-3" noir
UV130GP3234	T-Stück 90° IG d32-3/4 schwarz"	Tee "f" d32-3/4" black	Té 90° (filetage femelle) d32-3/4" noir
UV130P20	T-Stück d20 mm schwarz	Tee d20 mm black	Té d20 mm noir
UV130P25	T-Stück d25 mm schwarz	Tee d25 mm black	Té d25 mm noir
UV130P2520	T-Stück red. d25-20 mm schwarz	Reducing tee d25-20 mm black	Té réduit d25-20 mm noir
UV130P32	T-Stück d32 mm schwarz	Tee d32 mm black	Té d32 mm noir
UV130P3220	T-Stück red. d32-20 mm schwarz	Reducing tee d32-20 mm black	Té réduit d32-20 mm noir
UV130P40	T-Stück d40 mm schwaz	Tee d40 mm balck	Té d40 mm noir
UV130P50	T-Stück d50 mm schwarz	Tee d50 mm black	Té d50 mm noir
UV130P5040	T-Stück red. d50-40 mm schwarz	Reducing tee d50-40 mm black	Té réduit d50-40 mm noir
UV130P63	T-Stück d63 mm schwarz	Tee d63 mm black	Té d63 mm noir
UV180P25	Kreuz d25 mm schwarz	Cross d25 mm black	Croix d25 mm noir
UV180P32	Kreuz d32 mm schwarz	Cross d32 mm black	Croix d32 mm noir
UV2436GP321	Übergangs-Gewinde-Muffe AG d32-1" schwarz Hexa 6-Kant	Adaptor socket "m" d32-1" black Hexa	Manchon adaptateur (filetage mâle Hexa) d32-1" noir
UV2436GP40114	Übergangs-Gewinde-Muffe AG d40-11/4 Hexa 6-Kant schwarz	Adaptor socket "m" d40-1 1/4" black Hexa	Manchon adaptateur (filetage mâle Hexa) d40-1 1/4" noir
UV2436GP50112	Übergangs-Gewinde-Muffe AG d50-11/2 Hexa 6-Kant schwarz	Adaptor socket "m" d50-11" Hexa black	Manchon adaptateur (filetage mâle) d50-11" Hexa noir
UV2436GP632	Übergangs-Gewinde-Muffe AG d63-2 Hexa 6-Kant schwarz	Adaptor socket "m" d63-2" Hexa black	Manchon adaptateur (filetage mâle) d63-2" Hexa noir
UV2436MGP321	Übergangs-Gewinde-Muffe AG "I/A" d32-1 Hexa 6-Kant schwarz	Adaptor socket "m" d32-1" Hexa black	Manchon adaptateur (filetage mâle) d32-1" Hexa noir
UV243GP2012	Übergangs-Gewinde-Muffe AG d20-1/2" schwarz"	Adaptor socket "m" d20-1/2" black	Manchon adaptateur (filetage mâle) d20-1/2" noir
UV243GP2512	Übergangs-Gewinde-Muffe AG d25-1/2" schwarz"	Adaptor socket "m" d25-1/2" black	Manchon adaptateur (filetage mâle) d25-1/2" noir
UV243GP2534	Übergangs-Gewinde-Muffe AG d25-3/4 schwarz	Adaptor socket "m" d25-3/4" black	Manchon adaptateur (filetage mâle) d25-3/4" noir
UV243GP321	Übergangs-Gewinde-Muffe AG d32-1 schwarz	Adaptor socket "m" d32-1" black	Manchon adaptateur (filetage mâle) d32-1" noir
UV243GP3234	Übergangs-Gewinde-Muffe AG d32-3/4" schwarz"	Adaptor socket "m" d32-3/4" black	Manchon adaptateur (filetage mâle) d32-3/4" noir
UV243GP40114	Übergangs-Gewinde-Muffe AG d40-1 1/4 schwarz	Adaptor socket "m" d40-1 1/4" black	Manchon adaptateur (filetage mâle) d40-1 1/4" noir
UV243GP632	Übergangs-Gewinde-Muffe AG d63-2 schwarz#	Adaptor socket "m" d63-2" black	Manchon adaptateur (filetage mâle) d63-2" noir
UV243MGP2512	Übergangs-Gewinde-Muffe AG "I/A "d25-1/2 schwarz	Adaptor socket "m" d25-1/2" black	Manchon adaptateur (filetage mâle) d25-1/2" noir
UV243MGP2534	Übergangs-Gewinde-Muffe AG "I/A" d25-3/4 schwarz	Adaptor socket "m" d25-3/4" black	Manchon adaptateur (filetage mâle) d25-3/4" noir
UV243P2520	Reduktion d25-20 mm schwarz	Reducing bush d25-20 mm black	Réduction d25-20 mm noir
UV243P3220	Reduktion d32-20 mm schwarz	Reducing bush d32-20 mm black	Réduction d32-20 mm noir
UV243P3225	Reduktion d32-25 mm schwarz	Reducing bush d32-25 mm black	Réduction d32-25 mm noir
UV243P4025	Reduktion d40-25 mm schwarz	Reducing bush d40-25 mm black	Réduction d40-25 mm noir
UV243P5025	Reduktion d50-25 mm schwarz	Reducing bush d50-25 mm black	Réduction d50-25 mm noir
UV243P6325	Reduktion d63-25 mm schwarz	Reducing bush d63-25 mm black	Réduction d63-25 mm noir
UV2706GP321	Übergangs-Gewinde-Muffe IG d32-1 Hexa 6-Kant schwarz	Adaptor socket "f" d32-1" black Hexa	Manchon adaptateur (filetage femelle Hexa) d32-1" noir
UV2706GP401	Übergangs-Gewinde-Muffe IG d40-1 Hexa 6-Kant schwarz	Adaptor socket "f" d40-1" black Hexa	Manchon adaptateur (filetage femelle Hexa) d40-1" noir
UV2706GP40114	Übergangs-Gewinde-Muffe IG d40-11/4 Hexa 6-Kant schwarz	Adaptor socket "f" d40-1 1/4" black Hexa	Manchon adaptateur (filetage femelle Hexa) d40-1 1/4" noir
UV2706MGP321	Übergangs-Gewinde-Muffe IG "I/A" d32-1 Hexa 6-Kant schwarz	Adaptor socket "f" d32-1" Hexa black	Manchon adaptateur (filetage femelle) d32-1" Hexa noir
UV270GP2012	Übergangs-Gewinde-Muffe IG d20-1/2" schwarz"	Adaptor socket "f" d20-1/2" black	Manchon adaptateur (filetage femelle) d20-1/2" noir
UV270GP2512	Übergangs-Gewinde-Muffe IG d25-1/2" schwarz"	Adaptor socket "f" d25-1/2" black	Manchon adaptateur (filetage femelle) d25-1/2" noir
UV270GP2534	Übergangs-Gewinde-Muffe IG d25-3/4" schwarz"	Adaptor socket "f" d25-3/4" black	Manchon adaptateur (filetage femelle) d25-3/4" noir
UV270GP321	Übergangs-Gewinde-Muffe IG d32-1 schwarz	Adaptor socket "f" d32-1" black	Manchon adaptateur (filetage femelle) d32-1" noir
UV270GP3234	Übergangs-Gewinde-Muffe IG d32-3/4" schwarz"	Adaptor socket "f" d32-3/4" black	Manchon adaptateur (filetage femelle) d32-3/4" noir
UV270GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4 schwarz	Adaptor socket "f" d40-1 1/4" black	Manchon adaptateur (filetage femelle) d40-1 1/4" noir
UV270GSP6312	Einschweißsattel IG d63x1/2" schwarz	Weld-in saddle "f" d63-1/2" black	Collier de soudage (filetage femelle) d63-1/2" noir
UV270GSP6334	Einschweißsattel IG d63x3/4" schwarz	Weld-in saddle "f" d63-3/4" black	Collier de soudage (filetage femelle) d63-3/4" noir
UV270P20	Muffe d20 mm schwarz	Socket d20 mm black	Manchon d20 mm noir
UV270P25	Muffe d25 mm schwarz	Socket d25 mm black	Manchon d25 mm noir
UV270P32	Muffe d32 mm schwarz	Socket d32 mm black	Manchon d32 mm noir
UV270P40	Muffe d40 mm schwarz	Socket d40 mm black	Manchon d40 mm noir
UV270P50	Muffe d50 mm schwarz	Socket d50 mm black	Manchon d50 mm noir
UV270P63	Muffe d63 mm schwarz	Socket d63 mm black	Manchon d63 mm noir
UV270SP5025	Einschweißsattel d50 -25 mm schwarz	Weld-in saddle d50-25 mm black	Collier de soudage d50-25 mm noir
UV270SP6325	Einschweißsattel d63 -25 mm schwarz	Weld-in saddle d63-25 mm black	Collier de soudage d63-25 mm noir
UV270SP6332	Einschweißsattel d63 -32 mm schwarz	Weld-in saddle d63-32 mm black	Collier de soudage d63-32 mm noir
UV301P20	Kappe d20 mm schwarz	Cap d20 mm black	Bouchon d20 mm noir
UV301P25	Kappe d25 mm schwarz	Cap d25 mm black	Bouchon d25 mm noir
UV301P32	Kappe d32 mm schwarz	Cap d32 mm black	Bouchon d32 mm noir
UV301P40	Kappe d40 mm schwarz	Cap d40 mm black	Bouchon d40 mm noir
UV301P50	Kappe d50 mm schwarz	Cap d50 mm black	Bouchon d50 mm noir
UV301P63	Kappe d63 mm schwarz	Cap d63 mm black	Bouchon d63 mm noir
UV472GP2012	Wandscheibe 90° IG d20-1/2 schwarz	Wall bracket 90° "f" d20-1/2" black	Coude/Support mural 90° (filetage femelle) d20-1/2" noir
UV472GP2512	Wandscheibe 90° IG d25-1/2 schwarz	Wall bracket 90° "f" d25-1/2" black	Coude/Support mural 90° (filetage femelle) d25-1/2" noir
UV472GP2534	Winkel/Wandscheibe 90° IG d25-3/4	Wall bracket 90° "f" d25-3/4" black	Coude/Support mural 90° (filetage femelle) d25-3/4" noir
UV532P25	Metallverschr. mit PP-R ELT IG d25mm unvern. schw.	Metal union with PP-R socket "f" d25 mm nickel-plated black	Raccord union métal avec emboîture PP-R (filetage femelle) d25 mm nickelé noir
UV532P32	Metallverschr. mit PP-R ELT IG d32mm unvern. schw.	Metal union with PP-R socket "f" d32 mm nickel-plated black	Raccord union métal avec emboîture PP-R (filetage femelle) d32 mm nickelé noir
UV537P25	Metallverschr. mit PP-R ELT AG d25mm unvern. schw.	Metal union with PP-R socket "m" d25 mm nickel-plated black	Raccord union métal avec emboîture PP-R (filetage mâle) d25 mm nickelé noir
UV537P32	Metallverschr. mit PP-R ELT AG d32mm unvern. schw.	Metal union with PP-R socket "m" d32 mm nickel-plated black	Raccord union métal avec emboîture PP-R (filetage mâle) d32 mm nickelé noir
UV537P63	Metallverschr. mit PP-R ELT AG d63 mm unvern. schw.		Raccord union métal avec emboîture PP-R (filetage mâle) d63 mm nickelé noir
