artikelnummer	de	en	fr
CU243P4025	Reduktion d40-25 mm curry	Reducing bush d40-25 mm curry	Réduction d40-25 mm curry
CU243P4032	Reduktion d40-32 mm curry	Reducing bush d40-32 mm curry	Réduction d40-32 mm curry
CU243P5020	Reduktion d50-20 mm curry	Reducing bush d50-20 mm curry	Réduction d50-20 mm curry
CU243P5025	Reduktion d50-25 mm curry	Reducing bush d50-25 mm curry	Réduction d50-25 mm curry
CU243P5032	Reduktion d50-32 mm curry	Reducing bush d50-32 mm curry	Réduction d50-32 mm curry
CU243P5040	Reduktion d50-40 mm curry	Reducing bush d50-40 mm curry	Réduction d50-40 mm curry
CU243P6320	Reduktion d63-20 mm curry	Reducing bush d63-20 mm curry	Réduction d63-20 mm curry
CU243P6325	Reduktion d63-25 mm curry	Reducing bush d63-25 mm curry	Réduction d63-25 mm curry
CU243P6332	Reduktion d63-32 mm curry	Reducing bush d63-32 mm curry	Réduction d63-32 mm curry
CU243P6340	Reduktion d63-40 mm curry	Reducing bush d63-40 mm curry	Réduction d63-40 mm curry
CU243P6350	Reduktion d63-50 mm curry	Reducing bush d63-50 mm curry	Réduction d63-50 mm curry
CU243P7550	Reduktion d75-50 mm curry	Reducing bush d75-50 mm curry	Réduction d75-50 mm curry
CU243P7563	Reduktion d75-63 mm curry	Reducing bush d75-63 mm curry	Réduction d75-63 mm curry
CU243P9063	Reduktion d90-63 mm curry	Reducing bush d90-63 mm curry	Réduction d90-63 mm curry
CU243P9075	Reduktion d90-75 mm curry	Reducing bush d90-75 mm curry	Réduction d90-75 mm curry
CU2706GP321	Übergangs-Gewinde-Muffe IG d32-1" curry Hexa 6-Kant	Adaptor socket "f" d32-1" curry Hexa	Manchon adaptateur (filetage femelle Hexa) d32-1" curry
CU2706GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4" curry Hexa 6-Kant	Adaptor socket "f" d40-1 1/4" curry Hexa	Manchon adaptateur (filetage femelle Hexa) d40-1 1/4" curry
